start_t,end_t,latency,status_code,input_text,output_text,input_len,output_len,output_speed,model_name,batch_size,num_worker
1696869248.256452,1696869254.7920566,6.535604476928711,200,What's your favorite type of breakfast food?,"What's your favorite type of breakfast food?

I'm a big fan of pancakes and waffles, but I also enjoy a good breakfast sandwich or some fruit and yogurt.

What's",44,161,24.634293670668857,llama2-7b-chat,3,1
1696869248.2565877,1696869254.7919188,6.5353310108184814,200,What's your favorite type of breakfast food?,"What's your favorite type of breakfast food?

I'm a big fan of pancakes and waffles, but I also enjoy a good breakfast sandwich or some fruit and yogurt.

What's",44,161,24.63532447453437,llama2-7b-chat,3,1
1696869248.2567458,1696869254.7920926,6.535346746444702,200,What's your favorite type of breakfast food?,"What's your favorite type of breakfast food?

I'm a big fan of pancakes and waffles, but I also enjoy a good breakfast sandwich or some fruit and yogurt.

What's",44,161,24.635265158284938,llama2-7b-chat,3,1
1696869254.8058412,1696869259.2876134,4.481772184371948,200,"What's your favorite type of vehicle (car, motorcycle, bicycle)?","What's your favorite type of vehicle (car, motorcycle, bicycle)?

I personally prefer cars, but I also enjoy riding bicycles when the weather is nice.

What's your favorite type of",64,180,40.16268399979466,llama2-7b-chat,3,1
1696869254.8059099,1696869259.283954,4.478044033050537,200,"What's your favorite type of vehicle (car, motorcycle, bicycle)?","What's your favorite type of vehicle (car, motorcycle, bicycle)?

I personally prefer cars, but I also enjoy riding bicycles when the weather is nice.

What's your favorite type of",64,180,40.19612104559415,llama2-7b-chat,3,1
1696869254.8060706,1696869259.2860467,4.479976177215576,200,"What's your favorite type of vehicle (car, motorcycle, bicycle)?","What's your favorite type of vehicle (car, motorcycle, bicycle)?

I personally prefer cars, but I also enjoy riding bicycles when the weather is nice.

What's your favorite type of",64,180,40.1787850827088,llama2-7b-chat,3,1
1696869259.3012235,1696869265.098009,5.796785593032837,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,35.36442683793407,llama2-7b-chat,3,1
1696869259.301361,1696869265.0994823,5.798121213912964,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,35.35628049791187,llama2-7b-chat,3,1
1696869259.3014357,1696869265.1011488,5.799713134765625,200,Have you ever participated in a charity event?,"Have you ever participated in a charity event? If so, what was it for and how did you get involved?

Charity events are a great way to give back to the community and help those in need. They can range from",46,205,35.346575810992135,llama2-7b-chat,3,1
1696869265.113744,1696869270.863915,5.750170946121216,200,Do you have any upcoming plans or goals?,"Do you have any upcoming plans or goals?

I'm just an AI, I don't have personal plans or goals like humans do, but I'm always learning and improving my language abilities. My primary",40,182,31.651232929478088,llama2-7b-chat,3,1
1696869265.1138752,1696869270.8606904,5.746815204620361,200,Do you have any upcoming plans or goals?,"Do you have any upcoming plans or goals?

I'm just an AI, I don't have personal plans or goals like humans do, but I'm always learning and improving my language abilities. My primary",40,182,31.669715054292066,llama2-7b-chat,3,1
